region,value
"###",570
"Иностранцы",370
"Санкт-Петербург",1022
"Москва",1325
"ЛНР",92
"ДНР",205
"Республика Крым",940
"Севастополь",261
"Калининградская область",960
"Ленинградская область",1002
"Псковская область",697
"Смоленская область",423
"Брянская область",1163
"Республика Карелия",756
"Новгородская область",585
"Тверская область",1023
"Калужская область",659
"Орловская область",555
"Курская область",761
"Республика Адыгея",252
"Мурманская область",507
"Вологодская область",1123
"Ярославская область",584
"Московская область",3142
"Тульская область",600
"Липецкая область",745
"Белгородская область",1169
"Краснодарский край",3287
"Республика Карачаево-Черкесия",207
"Кабардино-Балкарская Республика",274
"Ивановская область",918
"Владимирская область",831
"Рязанская область",539
"Тамбовская область",745
"Воронежская область",1297
"Ростовская область",2281
"Ставропольский край",1642
"Республика Северная Осетия-Алания",807
"Костромская область",548
"Нижегородская область",1814
"Республика Мордовия",506
"Пензенская область",836
"Волгоградская область",2184
"Республика Калмыкия",288
"Чеченская Республика",341
"Республика Ингушетия",140
"Республика Марий Эл",833
"Чувашская Республика",951
"Ульяновская область",1112
"Саратовская область",2560
"Астраханская область",1043
"Республика Дагестан",1489
"Архангельская область",1237
"Кировская область",1791
"Республика Татарстан",4958
"Самарская область",2132
"Оренбургская область",2176
"Ненецкий автономный округ",70
"Республика Коми",1038
"Пермский край",3395
"Удмуртская Республика",1808
"Республика Башкортостан",5034
"Ямало-Ненецкий автономный округ",499
"Ханты-Мансийский автономный округ - Югра",1084
"Свердловская область",3877
"Челябинская область",3331
"Тюменская область",1233
"Курганская область",882
"Омская область",1551
"Томская область",847
"Новосибирская область",2128
"Алтайский край",2051
"Республика Алтай",515
"Красноярский край",2258
"Кемеровская область",2038
"Республика Хакасия",750
"Республика Тыва",1097
"Иркутская область",2556
"Республика Бурятия",2535
"Забайкальский край",1778
"Республика Саха (Якутия)",1203
"Амурская область",507
"Еврейская автономная область",115
"Чукотский автономный округ",114
"Магаданская область",169
"Хабаровский край",658
"Приморский край",1881
"Камчатский край",427
"Сахалинская область",938